,text,prod_id,ubp_score
0,zuck palmfett weizenmehl vollmilchpulv kakaobutt kakaomass kakaopulv haselnuss weizenfa mahl eigelbpulv emulgator sojalecithi speisesalz backtriebmittel natriumhydrogencarbona vanill extrak,11,E
1,zuck sauerungsmittel zitronensaur liermittel pekti,140,A
2,biovollmilch pas schweiz biorahm pas schweiz speisesalz jodfluorfrei schweiz sauerung reifungskultur kalbermagenlab,151,E
3,vollmilch pas schweiz speisesalz jodfluorfrei schweiz sauerung reifungskultur kalbermagenlab,161,E
4,roggenvollkornmehl 73 vollkornroggensauerteig roggenvollkornmehl 22 wass wass kochsalz hef kann spur sesam enthal,195,E
5,wass soja weiz kochsalz,605,E
6,wass soja weiz kochsalz,607,E
7,mai 30 zuck gluko sonnenblumenol 6 butt salz,653,E
8,milch kochsalz milchsaurebakterie mikrobiell enzym,858,E
9,milch kochsalz milchsaurebakterie mikrobiell lab,867,E
10,milch kochsalz milchsaurebakterie vegetarisch lab,867,E
11,wass soja weiz kochsalz,1557,E
12,greyerz schweiz kas vacheri fribourgeoi maizena,1677,E
13,zuck kakaobutt vollmilchpulv haselnuss 9 kokosfett kakaomass mandel 5 sojamehl magermilchpulv emulgator rapslecithi vanilleextrak milchschokolad mind 35 kakao,3242,E
14,zuck kakaobutt vollmilchpulv haselnuss 9 kokosfett kakaomass mandel 5 sojamehl magermilchpulv emulgator rapslecithi vanilleextrak milchschokolad mind 35 kakao,3242,E
15,zuck haselnuss davo 11 ganz kakaomass kakaobutt kokosfett vollmilchpulv sojamehl butterreinfett magermilchpulv emulgator rapslecithi vanilleextrak kann spur mandel enthal schokolad 19 pralinenfullung 70 schokolad mind 47 kakao,3270,E
16,zuck kakaobutt vollmilchpulv kakaomass magermilchpulv emulgator rapslecithi vanilleextrak kann spur mandel haselnuss soja enthal schokolad mind 31 kakao,3281,E
17,zuck haselnuss davo 11 ganz kakaomass kakaobutt kokosfett vollmilchpulv sojamehl butterreinfett magermilchpulv emulgator rapslecithi vanilleextrak kann spur mandel enthal schokolad 19 pralinenfullung 70 schokolad mind 47 kakao,3326,E
